"user_id","company","title","industry","location","description","startdate","enddate"
"6773949995079994761","____","Purchase","","","","2002-06-01","2019-01-01"
"-6528776453512399203","-","Formation REVIT MEP niveau intermédiaire terminé","","","","2016-09-01","2016-01-01"
"-5739412256592031098","......","......","","","","",""
"-8944455195650396868","-","Landlord","","","","",""
"-5310406814151573599","...","Opérateur production","","","","",""
"-5807219047791740469","_","_","","","","2019-06-01",""
"-840843506069848840","-","-","","","","2000-01-01",""
"396800665572382953","-","Math tutor","","","","2011-09-01","2014-09-01"
"6439107068610478144","*","Retired","","","","",""
"-1001282010352558948","***","***","","","","",""
"-7004170321901189799",".","Registered Dental Hygienist","","","","",""
"4977895541911431552",".","Steel Detailer","","","","2020-09-01",""
"-1467617466383221673",".","Personaldisponent","","","","2009-07-01","2018-08-01"
"-8997907514296036522","-","Freischaffender Künstler","","","","",""
"-3361687063471958356",".",".","","","","",""
"4014812122734173942","-","Seeking for new adventure","","","","2020-03-01",""
"6471554543201714866","-----","Football Coach & Physical Trainer","","","","",""
"6208029471882743913","-","باحث عن عمل","","","","",""
"-2310155187682411005",".","موشن جرافيك","","","","2020-10-01",""
